username,full_name,id,city,country_code,followers_count,permalink_url,avatar_url,verified,last_modified,kind
Palupirtn,Ulnia Retno Palupi,57920578,Sidoarjo,ID,57,https://soundcloud.com/palupi-aulia-ulnia,https://i1.sndcdn.com/avatars-000082000420-krcqfu-large.jpg,False,2015-11-28T02:12:51Z,user
Fakhar Usman,Fakhar Usman,86084088,Lahore,PK,741,https://soundcloud.com/fakhar-usman,https://i1.sndcdn.com/avatars-000074228638-xfo2ra-large.jpg,False,2014-12-22T08:03:03Z,user
Ahmad Muneeb,,32188078,The City of Textiles,PK,1070,https://soundcloud.com/ahmad-muneeb,https://i1.sndcdn.com/avatars-000473979051-xh314o-large.jpg,False,2019-10-19T18:32:03Z,user
Rohit,Rohit Kumar,8029928,Bangalore,IN,2296,https://soundcloud.com/rohit4u2020,https://i1.sndcdn.com/avatars-000077374096-rpwc4o-large.jpg,False,2019-02-27T18:40:08Z,user
SR Music.,Soban Rao,88270172,Islamabad,PK,542,https://soundcloud.com/sobanraos-music,https://i1.sndcdn.com/avatars-000137398306-qs8ouv-large.jpg,False,2020-06-18T08:48:44Z,user
avi raj,,41381876,,,106,https://soundcloud.com/user722796341,https://a1.sndcdn.com/images/default_avatar_large.png,False,2014-06-23T16:10:14Z,user
SuhIs Zubair,SuhIs Zubair,5667476,,,474,https://soundcloud.com/suhiz,https://i1.sndcdn.com/avatars-000097171823-6h8mq8-large.jpg,False,2018-07-28T11:53:00Z,user
Built By Titan,Fred Williams www.BuiltByTitan.com,6531106,"Nashville, TN / Manila, Philippines",US,1218704,https://soundcloud.com/builtbytitan,https://i1.sndcdn.com/avatars-000209179560-eour25-large.jpg,False,2018-04-16T14:01:07Z,user
Built By Titan,Fred Williams www.BuiltByTitan.com,6531106,"Nashville, TN / Manila, Philippines",US,1218704,https://soundcloud.com/builtbytitan,https://i1.sndcdn.com/avatars-000209179560-eour25-large.jpg,False,2018-04-16T14:01:07Z,user
Built By Titan,Fred Williams www.BuiltByTitan.com,6531106,"Nashville, TN / Manila, Philippines",US,1218704,https://soundcloud.com/builtbytitan,https://i1.sndcdn.com/avatars-000209179560-eour25-large.jpg,False,2018-04-16T14:01:07Z,user
Built By Titan,Fred Williams www.BuiltByTitan.com,6531106,"Nashville, TN / Manila, Philippines",US,1218704,https://soundcloud.com/builtbytitan,https://i1.sndcdn.com/avatars-000209179560-eour25-large.jpg,False,2018-04-16T14:01:07Z,user
Built By Titan,Fred Williams www.BuiltByTitan.com,6531106,"Nashville, TN / Manila, Philippines",US,1218704,https://soundcloud.com/builtbytitan,https://i1.sndcdn.com/avatars-000209179560-eour25-large.jpg,False,2018-04-16T14:01:07Z,user
Built By Titan,Fred Williams www.BuiltByTitan.com,6531106,"Nashville, TN / Manila, Philippines",US,1218704,https://soundcloud.com/builtbytitan,https://i1.sndcdn.com/avatars-000209179560-eour25-large.jpg,False,2018-04-16T14:01:07Z,user
Built By Titan,Fred Williams www.BuiltByTitan.com,6531106,"Nashville, TN / Manila, Philippines",US,1218704,https://soundcloud.com/builtbytitan,https://i1.sndcdn.com/avatars-000209179560-eour25-large.jpg,False,2018-04-16T14:01:07Z,user
